type,b_price,b_amount,type,s_price,s_amount
b,9081.5,0.01,s,10433,1
b,9081,1.85,s,10435.3,0.027
b,9080.8,0.151,s,10436,0.002
b,9080.2,0.01,s,10437,0.5
b,9080,12.711,s,10440,0.03
b,9079,0.332,s,10444,0.05
b,9078,0.089,s,10445,0.231
b,9077,2.2,s,10449,0.05
b,9076.5,0.01,s,10450,6.782
b,9076,0.103,s,10452,0.01
b,9075.9,0.1,s,10453.1,4.062
b,9075,2.276,s,10458.5,0.1
b,9074,0.68,s,10459,0.1
b,9073.1,0.5,s,10462,0.5
b,9072,0.14,s,10469,0.1
b,9071,0.51,s,10475,0.048
b,9070.2,0.651,s,10475.1,0.01
b,9070,1.132,s,10477,6.278
b,9069.9,0.01,s,10480,0.04
b,9069.8,0.003,s,10481.8,0.013
b,9069,2,s,10487,0.5
b,9067,0.02,s,10487.3,0.231
b,9066.8,0.04,s,10488.3,0.4
b,9066,1.1,s,10489,0.3
b,9065.5,0.151,s,10490,0.18
b,9065.1,0.152,s,10493,0.025
b,9065,1,s,10495,10
b,9062.4,5,s,10495.7,0.105
b,9062,0.03,s,10498,0.685
b,9061.8,0.02,s,10498.9,0.95
b,9061.1,0.01,s,10499,0.846
b,9061,0.5,s,10499.9,0.024
b,9060.8,0.015,s,10500,20.01
b,9060,4.951,s,10500.1,0.1
b,9058,1,s,10512,0.5
b,9057,0.01,s,10514.4,0.003
b,9056.3,0.25,s,10520,1
b,9056,0.11,s,10521,0.04
b,9055.5,0.05,s,10521.3,0.005
b,9055,3.038,s,10525,0.01
b,9054.8,5,s,10529,0.1
b,9053,0.03,s,10537,0.5
b,9052.6,0.01,s,10542.2,0.024
b,9051.9,0.334,s,10544.7,0.003
b,9051.2,1.326,s,10549,0.095
b,9051,3.017,s,10550,13.931
b,9050.5,1.7,s,10550.1,1
b,9050,17.959,s,10552.1,0.05
b,9047.2,1,s,10554.5,0.013
b,9047,0.42,s,10555,0.05
b,9046.4,0.003,,,
b,9046,0.31,,,
b,9045,1.36,,,
b,9043.4,0.01,,,
b,9041,0.528,,,
b,9040,5.001,,,
b,9039.6,0.151,,,
b,9038.3,0.1,,,
b,9038,0.028,,,
b,9037,0.75,,,
